CLAVE_ENT,NOM_ENT,MUN,ANIO,POBLACION
9,Ciudad de Mexico,Azcapotzalco,2018,411503
9,Ciudad de Mexico,Benito Juarez,2018,426729
9,Ciudad de Mexico,Coyoacan,2018,625634
9,Ciudad de Mexico,Cuajimalpa de Morelos,2018,198647
9,Ciudad de Mexico,Cuauhtemoc,2018,546713
9,Ciudad de Mexico,Gustavo A. Madero,2018,1184801
9,Ciudad de Mexico,Iztacalco,2018,395153
9,Ciudad de Mexico,Iztapalapa,2018,1830835
9,Ciudad de Mexico,La Magdalena Contreras,2018,245445
9,Ciudad de Mexico,Miguel Hidalgo,2018,377737
9,Ciudad de Mexico,Milpa Alta,2018,138441
9,Ciudad de Mexico,Tlalpan,2018,680617
9,Ciudad de Mexico,Tlahuac,2018,367814
9,Ciudad de Mexico,Venustiano Carranza,2018,435556
9,Ciudad de Mexico,Xochimilco,2018,420471
9,Ciudad de Mexico,Alvaro Obregon,2018,755299
