CLAVE_ENT,NOM_ENT,MUN,ANIO,POBLACION
9,Ciudad de Mexico,Azcapotzalco,2020,432205
9,Ciudad de Mexico,Benito Juarez,2020,434153
9,Ciudad de Mexico,Coyoacan,2020,614447
9,Ciudad de Mexico,Cuajimalpa de Morelos,2020,217686
9,Ciudad de Mexico,Cuauhtemoc,2020,545884
9,Ciudad de Mexico,Gustavo A. Madero,2020,1173351
9,Ciudad de Mexico,Iztacalco,2020,404695
9,Ciudad de Mexico,Iztapalapa,2020,1835486
9,Ciudad de Mexico,La Magdalena Contreras,2020,247622
9,Ciudad de Mexico,Miguel Hidalgo,2020,414470
9,Ciudad de Mexico,Milpa Alta,2020,152685
9,Ciudad de Mexico,Tlalpan,2020,699928
9,Ciudad de Mexico,Tlahuac,2020,392313
9,Ciudad de Mexico,Venustiano Carranza,2020,443704
9,Ciudad de Mexico,Xochimilco,2020,442178
9,Ciudad de Mexico,Alvaro Obregon,2020,759137
