CLAVE_ENT,NOM_ENT,MUN,ANIO,POBLACION
9,Ciudad de Mexico,Azcapotzalco,2019,409860
9,Ciudad de Mexico,Benito Juarez,2019,430354
9,Ciudad de Mexico,Coyoacan,2019,623683
9,Ciudad de Mexico,Cuajimalpa de Morelos,2019,199380
9,Ciudad de Mexico,Cuauhtemoc,2019,547703
9,Ciudad de Mexico,Gustavo A. Madero,2019,1180729
9,Ciudad de Mexico,Iztacalco,2019,394448
9,Ciudad de Mexico,Iztapalapa,2019,1823468
9,Ciudad de Mexico,La Magdalena Contreras,2019,245375
9,Ciudad de Mexico,Miguel Hidalgo,2019,378708
9,Ciudad de Mexico,Milpa Alta,2019,139035
9,Ciudad de Mexico,Tlalpan,2019,681728
9,Ciudad de Mexico,Tlahuac,2019,367406
9,Ciudad de Mexico,Venustiano Carranza,2019,434290
9,Ciudad de Mexico,Xochimilco,2019,419426
9,Ciudad de Mexico,Alvaro Obregon,2019,755620
