CLAVE_ENT,NOM_ENT,MUN,ANIO,POBLACION
9,Ciudad de Mexico,Azcapotzalco,2016,415389
9,Ciudad de Mexico,Benito Juarez,2016,418868
9,Ciudad de Mexico,Coyoacan,2016,630049
9,Ciudad de Mexico,Cuajimalpa de Morelos,2016,196329
9,Ciudad de Mexico,Cuauhtemoc,2016,544605
9,Ciudad de Mexico,Gustavo A. Madero,2016,1193647
9,Ciudad de Mexico,Iztacalco,2016,396794
9,Ciudad de Mexico,Iztapalapa,2016,1843315
9,Ciudad de Mexico,La Magdalena Contreras,2016,245103
9,Ciudad de Mexico,Miguel Hidalgo,2016,375725
9,Ciudad de Mexico,Milpa Alta,2016,136522
9,Ciudad de Mexico,Tlalpan,2016,676597
9,Ciudad de Mexico,Tlahuac,2016,367372
9,Ciudad de Mexico,Venustiano Carranza,2016,438670
9,Ciudad de Mexico,Xochimilco,2016,421545
9,Ciudad de Mexico,Alvaro Obregon,2016,753460
